英語,日本語,id
replaceable,置き換えられる，代わりのある(形容詞),1
spark,火花，きらめき(名詞),2
pity,同情，あわれみ(名詞),3
strictly,厳密に，厳しく(副詞),4
brightly,明るく，輝いて(副詞),5
hang on,しがみつく，頑張る(熟語),6
look up to,を尊敬する，を敬う(熟語),7
sympathetic,思いやりのある，共感的な(形容詞),8
end up,最終的に，することになる(熟語),9
chimney,煙突(名詞),10
temper,気性，かんしゃく(名詞),11
quarrel,喧嘩，口論，言い争い(名詞),12
bark,吠える/木の皮(動詞/名詞),13
loyalty,忠誠，誠実(名詞),14
intent,意図，目的(名詞),15
lately,最近(副詞),16
invade,侵略する(動詞),17
tender,優しい/世話人(形容詞/名詞),18
map out,綿密に計画する，詳細に計画する，地図に精密に示す(熟語),19
spontaneous,自発的な，任意の(形容詞),20
forgive,を許す，大目に見る(動詞),21
in contrast,対照的に，これに対して(熟語),22
fame,名声(名詞),23
modest,控えめな(形容詞),24
thumb,親指(名詞),25
robber,強盗，強盗罪(名詞),26
terribly,ひどく，ものすごく(副詞),27
drawer,引き出し(名詞),28
informal,非公式な，略式の(形容詞),29
conclusive,決定的な，結論的な(形容詞),30
fertilizer,肥料，育成剤(名詞),31
holistic,全体論の，総体的な(形容詞),32
sincerely,心から，真心こめて(副詞),33
sympathy,同情，思いやり(名詞),34
pat,軽くたたく，軽く打つ(動詞),35
in order to,～するために，～の目的で(熟語),36
pioneer,開拓者，先駆者(名詞),37
mend,を直す，修繕する(動詞),38
pollution,汚染，汚れ，汚染物(名詞),39
tightly,しっかりと，きつく(副詞),40
cruel,残酷な，ひどい(形容詞),41
oxygen,酸素(名詞),42
come down with,病気などにかかる，罹患する(熟語),43
applause,拍手かっさい，称賛(名詞),44
spectator,観客，見物人(名詞),45
afford to,する余裕がある(熟語),46
slave,奴隷(名詞),47
debt,借金，負債(名詞),48
tame,飼いならす(動詞),49
blank,白紙の，空白の(形容詞),50
gross,全体の，総体的な(形容詞),51
meantime,合間に，その間に(名詞/副詞),52
impractical,非実用的な，実行不可能な(形容詞),53
sturdy,たくましい，頑強な(形容詞),54
confess,を打ち明ける，白状する(動詞),55
silence,沈黙，静けさ(名詞),56
incredible,信じられない，信じがたい(形容詞),57
nasty,不快な，不愉快な(形容詞),58
envelope,封筒，封書(名詞),59
ugly,醜い(形容詞),60
do away with,廃止する，取り消す(熟語),61
horrible,恐ろしい(形容詞),62
leap in,飛び込む，急上昇(熟語),63
soap,せっけん(名詞),64
spite,悪意，恨み(名詞),65
reception,応接，歓迎(名詞),66
noble,気高い，高貴な(形容詞),67
capacity,容量，容積(名詞),68
blend,を混ぜ合わせる，を混ぜる(動詞),69
tuck in,押し込む，詰め込む(熟語),70
religious,宗教上の，信仰の(形容詞),71
laundry,洗濯物，洗濯(名詞),72
interval,間隔，合い間(名詞),73
rob,から奪う，強奪する(動詞),74
vast,広大な，莫大な(形容詞),75
luggage,荷物，手荷物(名詞),76
grief,悲しみ，深い悲しみ(名詞),77
kettle,やかん，湯沸かし(名詞),78
flock,群れ，集団(名詞),79
fall for,に夢中になる，騙される，引きつけられる(熟語),80
intend to,するつもりである，する意図がある(熟語),81
adventure,冒険(名詞),82
cart,荷車，荷馬車(名詞),83
earthquake,地震(名詞),84
grace,恵み(名詞),85
shell,貝殻，貝(名詞),86
weave,織物を織る(動詞),87
boast,自慢する，誇示する(動詞),88
knock down,を取り壊す，打ち倒す(熟語),89
bandage,包帯，絆創膏，ガーゼ(名詞),90
afterward,その後(副詞),91
instruct,指示する，教える(動詞),92
starve,飢える(動詞),93
horizon,地平線，水平線(名詞),94
arrest,を逮捕する，捕まえる(動詞),95
lay off,を解雇する，首にする(熟語),96
prestigious,著名な，名声のある(形容詞),97
geography,地理，地理学(名詞),98
per,につき，ごとに(前置詞),99
at face value,額面通り，表面通りの価値で(熟語),100
act up,あばれる，騒ぐ(熟語),101
beggar,乞食，物乞い(名詞),102
warmth,暖かさ，温もり(名詞),103
stabilize,固定させる，安定させる(動詞),104
meadow,牧草地，草原(名詞),105
water down,水で薄める，和らげる(熟語),106
fountain,噴水，泉(名詞),107
phase out,段階的に廃止する，撤去する(熟語),108
thin,薄い，痩せた(形容詞),109
replacement,置換，代替(名詞),110
cage,かご，おり(名詞),111
get past,のそばを通る，通り抜ける(熟語),112
what is more,さらに，その上(熟語),113
invitation,招待，案内(名詞),114
container,容器，入れ物(名詞),115
jealous,うらやましい，嫉妬している(形容詞),116
marble,大理石，大理石模様(名詞),117
tutor,家庭教師，個別指導者(名詞),118
unite,を結合させる，団結する(動詞),119
in substance,実質上，実際には，事実上(熟語),120
comb,くし(名詞),121
fiction,創作，作り話(名詞),122
in the red,赤字で，赤字経営で(熟語),123
frank,率直な，隠さない(形容詞),124
spectacle,光景，ありさま(名詞),125
eager to,したがる，熱意を持って(熟語),126
shed light on,に光を放つ，当てる(熟語),127
fanatical,熱狂的な，熱烈な(形容詞),128
glue,接着剤(名詞),129
bold,勇敢な(形容詞),130
ultimately,最後に，ついに(副詞),131
backyard,裏庭(名詞),132
roast,あぶり焼きにする(動詞),133
neat,きちんとした(形容詞),134
put up at,に泊まる，宿泊する(熟語),135
set a precedent,先例を作る，前例を作る(熟語),136
flash,閃光(名詞),137
organ,臓器(名詞),138
kingdom,王国(名詞),139
outstanding,並外れた，目立った(形容詞),140
rise and shine,起き上がる，起床する(熟語),141
vague,漠然とした，あいまいな(形容詞),142
break into tears,涙が出る，泣き出す(熟語),143
ankle,足首，くるぶし(名詞),144
instead,代わりに，その代わり(副詞),145
striking,印象的な，目立つ(形容詞),146
harsh,厳しい(形容詞),147
vandalize,わざと壊す，故意に破壊する(動詞),148
essence,本質，真髄(名詞),149
pull over,車を止める，車を停止させる(熟語),150
calmly,落ち着いて，静かに(副詞),151
fortunately,運よく，幸いにも(副詞),152
countryside,田舎，地方(名詞),153
vanish,消える(動詞),154
be akin to,に似ている，と同種である(熟語),155
atom,原子，微小分子(名詞),156
rage,激怒，憤慨(名詞),157
sincere,誠実な(形容詞),158
elder,年上の，年長の(形容詞),159
convention,大会，会議(名詞),160
urgent,緊急の，急を要する(形容詞),161
rough up,手荒く扱う，かき乱す(熟語),162
glorify,栄光をたたえる，賛美する(動詞),163
stair,階段(名詞),164
atlas,地図帳(名詞),165
invention,発明，創造(名詞),166
be incongruous with,と矛盾する，と不一致である(熟語),167
delighted,うれしい，喜んだ(形容詞),168
go astray,行方不明になる，堕落する(熟語),169
wrap,を包む，巻きつける(動詞),170
shallow,浅い(形容詞),171
bush,茂み，低木(名詞),172
stiff,硬い(形容詞),173
discern,はっきり分かる，認める(動詞),174
seclusion,隔離，分離(名詞),175
discharge,排出，放電/荷を降ろす(動詞),176
progression,前進，進歩(名詞),177
wheat,小麦(名詞),178
weary,疲れた，疲弊した(形容詞),179
purse,財布，ハンドバッグ(名詞),180
blame,を非難する，批判する(動詞),181
employment,雇用，採用(名詞),182
consequently,その結果として，それゆえに(副詞),183
fare,運賃(名詞),184
venue,会場，場所(名詞),185
archaeological,考古学の，古典的な(形容詞),186
stumbling block,障害，障害物(名詞),187
chill,冷たさ，寒気(名詞),188
distribute,を配布する，分配する(動詞),189
breeze,そよ風(名詞),190
parcel,小包，包み(名詞),191
sew up,縫合する，縫い合わせる(熟語),192
prop up,添える，支える(熟語),193
fall back on,に頼る，信じる(熟語),194
weed,雑草，草取り(名詞),195
bless,を祝福する，に授ける(動詞),196
specialize in,に特化する，専門とする(熟語),197
headache,頭痛(名詞),198
feather,羽根，羽毛(名詞),199
electricity,電力，電気(名詞),200
ladder,はしご，踏み台(名詞),201
deflate,空気を抜く，しぼませる(動詞),202
dawn,夜明け，暁(名詞),203
filament,細糸，線条(名詞),204
be prone to,する傾向がある，しがちである(熟語),205
injure,を傷つける(動詞),206
end up with,で終わる，の羽目になる(熟語),207
weep,泣く，涙を流す(動詞),208
peasant,農民，農夫(名詞),209
baggage,荷物，手荷物(名詞),210
deliberate,故意の，意図的な(形容詞),211
break up,別れる(熟語),212
era,時代，世代(名詞),213
pessimism,悲観的，悲観主義(名詞),214
give off,を放つ，放出する(熟語),215
contend with,と戦う，張り合う(熟語),216
bore,退屈させる，うんざりさせる(動詞),217
instance,衝動，例(名詞),218
villain,悪党，悪者(名詞),219
miserly,しみったれた，欲深い(形容詞),220
disappointment,失望，期待外れ(名詞),221
peel away,むく，剥がす(熟語),222
under fire,攻撃を受けて，批判を受けて(熟語),223
complicated,複雑な，繁雑な(形容詞),224
no longer,もはや～でない，既に～ない(熟語),225
wrist,手首，そで口(名詞),226
pay regard to,を尊重する，尊敬する(熟語),227
apology,謝罪，お詫び(名詞),228
refrigerator,冷蔵庫，冷却装置(名詞),229
keep at,を根気よく続ける，継続する(熟語),230
suck,を吸う，すする(動詞),231
breed,を飼育する，繁殖する(動詞),232
cut off,を断つ，切る(熟語),233
anyhow,どうしても，なんとしても(副詞),234
monastery,修道院(名詞),235
bound,跳ねる，跳ね返る(動詞),236
opt for,選ぶ，選択する(熟語),237
turn over,をひっくり返す(熟語),238
tendency,傾向(名詞),239
get by,どうにか切り抜ける(熟語),240
departure,出発(名詞),241
devote,に捧げる，ゆだねる(動詞),242
tuition fee,授業料，学費(名詞),243
beard,ひげ，あごひげ(名詞),244
weed out,取り除く，引き抜く(熟語),245
intimacy,親密さ，親交関係(名詞),246
mockingly,あざけるように，からかって(副詞),247
fortunate,幸運な，運の良い(形容詞),248
offensive,攻撃的な，無礼な(形容詞),249
inopportune,間の悪い，都合の悪い(形容詞),250
in response to,に応じて，に反応して(熟語),251
scoop up,すくい取る，くみ上げる(熟語),252
stand down,身を引く，後退する(熟語),253
rub in,刷り込む，繰り返し言う(熟語),254
steep,急勾配の，傾斜の急な(形容詞),255
screw,ねじ(名詞),256
see out,見送る，見届ける(熟語),257
moustache,口ひげ(名詞),258
dull,面白みのない，鈍い(形容詞),259
expense,費用，出費，犠牲(名詞),260
loyal,忠実な，信念の厳格な(形容詞),261
fall apart,崩壊する，ばらばらに壊れる(熟語),262
flour,小麦粉(名詞),263
vase,花瓶，つぼ(名詞),264
grain,穀物，穀類(名詞),265
crush,を押しつぶす(動詞),266
pill,丸薬，錠剤(名詞),267
fund,基金，資金(名詞),268
deadly,致命的な，命にかかわる(形容詞),269
abuse,乱用，悪用(名詞),270
destination,目的地，行き先(名詞),271
residence,住宅，居住地(名詞),272
plunge A into B,AがBに飛び込む，突進する(熟語),273
embarrassment,困惑，当惑(名詞),274
all ears,耳を傾ける，熱心に聴く(熟語),275
infant,乳児，赤ちゃん(名詞),276
inherit,を受け継ぐ，相続する(動詞),277
launch,発売する，船をおろす(動詞),278
tidy,きちんとした(形容詞),279
uncertain,不確実な，確信を持てない(形容詞),280
scarcely,ほとんどない(副詞),281
token,しるし，象徴(名詞),282
sticky,べたつく，ねばねばした(形容詞),283
apologize,謝る，謝罪する(動詞),284
halfway,途中の，中間の(形容詞),285
pass over,を無視する，通り越す(熟語),286
yawn,欠伸をする，あくびをする(動詞),287
minister,大臣，牧師(名詞),288
assert,主張する，主意を表す(動詞),289
consciousness,意識，知覚(名詞),290
surrounding,周囲，付近(名詞),291
crawl,這う，這って進む(動詞),292
wilderness,荒野，未開の地(名詞),293
detective,探偵，刑事，捜査官(名詞),294
seal,密閉する，封鎖する(動詞),295
