en,jp
as a result,結果として，その結果(接続詞)
however,しかしながら，どんなに～でも(副詞)
environment,環境，状況(名詞)
reduce,を減らす，縮小する(動詞)
instead,代わりに，その代わり(副詞)
in order to,～するために，～の目的で(熟語)
vehicle,乗り物，車(名詞)
recommend,を推薦する，を勧める(動詞)
improve,を改善する，改良する(動詞)
recently,最近，このごろ(副詞)
customer,顧客，お客様(名詞)
several,幾つかの，いくらかの(形容詞)
discover,を発見する，見つける(動詞)
common,共通の，共同の(形容詞)
in particular,特に，とりわけ(熟語)
disturb,を阻害する，(人の)邪魔をする(動詞)
moreover,さらに，その上(副詞)
not only A but also B,AだけでなくBもまた，Aと同様Bも(接続詞)
a number of,たくさんの，多数の(熟語)
be likely to,する可能性が高い，しそうになる(熟語)
benefit,利益/に利益をもたらす(名詞/動詞)
deal with,に対処する，に対応する(熟語)
solution,解決法，解明(名詞)
inform,情報を与える，に知らせる(動詞)
unable,できない，不能である(形容詞)
disease,病気，疾患(名詞)
therefore,それゆえ，だから(副詞)
unfortunately,残念なことに，不幸にも(副詞)
device,装置，仕掛け(名詞)
attractive,魅力的な，興味をそそる(形容詞)
climate,気候，天候(名詞)
end up,最終的に，することになる(動詞)
evidence,証拠，証明(名詞)
estimate,を推定する，評価する(動詞)
argue,だと主張する，感情的に論じる(動詞)
according to,によると，との情報によれば(前置詞)
meanwhile,一方で，他方で(副詞)
entirely,完全に，全く(副詞)
publish,を出版する，発行する(動詞)
melt,溶ける，を溶かす(動詞)
expense,費用，出費，犠牲(名詞)
contain,を含む，が入っている(動詞)
similar,似ている，類似の(形容詞)
government,政府，行政府，内閣(名詞)
modern,現代的な，現代の(形容詞)
million,100万(名詞)
quit,やめる，中止する(動詞)
scientist,科学者，研究者(名詞)
pollution,汚染，汚れ，汚染物(名詞)
foundation,土台，根拠，設立(名詞)
remove,を取り除く，を除去する(動詞)
compare,を比較する，をたとえる(動詞)
replace,を取り換える，を交換する(動詞)
lead to,に導く，～につながる(熟語)
furthermore,さらに，その上(副詞)
result in,結果として，結果～になる(熟語)
profit,利益，もうけ(名詞)
remain,のままである，残る(動詞)
organize,を組織する，を編成する(動詞)
suffer from,で苦しむ，悩まされる(熟語)
emphasize,を強調する，力説する(動詞)
more and more,ますます多くの，更に(熟語)
experiment,実験，試み(名詞)
consume,を消費する，消耗する(動詞)
development,発展，発達，開発(名詞)
detect,を検出する，を感知する(動詞)
extremely,極端に，過度に(副詞)
employment,雇用，採用(名詞)
by chance,偶然に，たまたま(熟語)
unlike,と異なって，とは違って(前置詞)
properly,適切に，適当に(副詞)
repair,を修理する，修繕する(動詞)
in addition,追加として，さらに(接続詞)
complicated,複雑な，繁雑な(形容詞)
until,までに，まで(接続詞/前置詞)
on the other hand,一方で，他方で(接続詞)
arrest,を逮捕する，捕まえる(動詞)
betray,を裏切る，をだます(動詞)
survey,調査/を見渡す(名詞/動詞)
affect,に影響を与える，に作用する(動詞)
consider,について考える，だと見なす(動詞)
portable,持ち運べる，携帯用の(形容詞)
remind,に思い出させる，に気付かせる(動詞)
ability,能力，力量(名詞)
allow,を許可する，許す(動詞)
quality,質，特性(名詞)
construction,建設，構造，建造物(名詞)
develop,を発達させる，を開発する(動詞)
permission,許可，認可(名詞)
mess,混乱，錯乱，無秩序(名詞)
convert,を変える，転換する(動詞)
resident,住民，居住者(名詞)
provide,を供給する，提供する(動詞)
metal,金属，合金(名詞)
immediately,即座に，直ちに(副詞)
predict,を予想する，を予測する(動詞)
religion,宗教，信仰(名詞)
currency,通貨，流通(名詞)
restore,を元に戻す，を修復する(動詞)
accompany,に付き添う，に同行する(動詞)
in detail,詳細に，具体的に(熟語)
no longer,もはや～でない，既に～ない(熟語)
nevertheless,にも関わらず，けれども(接続詞)
probably,おそらく，大抵(副詞)
in contrast,対照的に，これに対して(接続詞)
for instance,例えば，たとえ… としても(熟語)
additionally,加えて，さらに，追加で(副詞)
anxiety,心配，不安(名詞)
for example,例えば，たとえ… としても(熟語)
brain,頭脳，脳(名詞)
certain,ある，確信している(形容詞)
pain,痛み，苦痛(名詞)
in response to,に応じて，に反応して(熟語)
stare at,をじっと見つめる，を凝視する(熟語)
involve,を含む，を巻き込む(動詞)
at the same time,同時に，一斉に(熟語)
preserved,保存された，保管された(形容詞)
be known as,として知られている，として認知されている(熟語)
accurate,正確な，的確な(形容詞)
analyze,を分析する，分解する(動詞)
a variety of,いろいろな，さまざまな(熟語)
obtain,を手に入れる，を獲得する(動詞)
sympathy,同情，思いやり(名詞)
flexibility,しなやかさ，弾力性，柔軟性(名詞)
approach,に近づく，接近する(動詞)
manage,何とかうまくやる，管理を行う(動詞)
reach out,手を延ばす，手を差し出す(熟語)
for fear of,を恐れて，を怖がって(熟語)
on behalf of,の代わりに，代わって(熟語)
on account of,のため，目的の(熟語)
artificial,人工的な，人造の(形容詞)
prevent A from B,AをBから防ぐ，AをBから保護する(熟語)
rather than,よりむしろ，ではなくて(接続詞)
slightly,わずかに，少し(副詞)
measure,措置，測るもの/を測る(動詞)
be born with,生まれつき，生来の(熟語)
waste,を浪費する/浪費，廃棄物(名詞)
since then,それ以来，それ以降(熟語)
turn A into B,AをBに(質的に)変える，AをBに(質的に)転換する(熟語)
fertilizer,肥料，育成剤(名詞)
made of,で出来ている，構成されている(熟語)
adopt,を自分のものにする，を取り入れる(動詞)
raise,を上げる，持ち上げる(動詞)
avoid,を避ける，を回避する(動詞)
make sure,を確かめる，必ず手配する(熟語)
participate in,に参加する，に加わる(熟語)
achieve,を達成する，到達する(動詞)
tolerate,に耐える，寛大に取り扱う(動詞)
journey,旅，旅行(名詞)
get along,うまくやる，仲良くやる(熟語)
keep up with,に遅れず付いていく，遅れないで追随する(熟語)
production,生産，製造(名詞)
cell,細胞，マス目(名詞)
such as,のような，似たような(熟語)
complete,完全な，全部の(形容詞)
annually,毎年の，年一回ずつ(副詞)
psychologist,心理学者，精神科学者(名詞)
invest in,に投資する，に資本を提供する(熟語)
demand,要求，需要/を要求する(名詞)
respond,反応する，と返答する(動詞)
valuable,貴重な，価値のある(形容詞)
witness,目撃者，証人/を目撃する(名詞)
poverty,貧困，貧乏，困窮(名詞)
embarrass,を恥ずかしがらせる，を恥じさせる(動詞)
enlarge,を拡大する，を広げる(動詞)
ingredient,材料，原料，成分(名詞)
overall,全体的な，全部の(形容詞)
spend,を費やす，使う(動詞)
purchase,を購入する/購入(動詞)
brilliant,優れた，光り輝く(形容詞)
revolution,革命，変革(名詞)
in charge of,の担当をして，担当している(熟語)
previously,以前は，前もって(副詞)
feature,特徴，特性/を目玉とする(名詞)
excuse,言い訳，弁解/を許す(名詞)
rely on,に頼る，を当てにする(熟語)
vote for,に賛成する，に投票する(熟語)
decrease,減少する，を減らす/減少(動詞)
frequent,頻繁な，しばしば起こる(形容詞)
theory,理論，学説(名詞)
gravity,重力，引力(名詞)
translate,を翻訳する，通訳する(動詞)
equipment,装置，設備(名詞)
rare,まれな，珍しい(形容詞)
decide,決心する，決定する(動詞)
bank account,銀行口座，貯金口座(熟語)
amount,量，額(名詞)
constant,絶え間ない，一定の(形容詞)
efficient,効率のいい，効率的な(形容詞)
available,利用できる，使用可能な(形容詞)
particular,特定の，明確な(形容詞)
locate,見つける，位置を突きとめる(動詞)
recommendation,推薦，推奨(名詞)
apply to,に適用する，に応用する(熟語)
politely,丁寧に，礼儀正しく(副詞)
accidentally,誤って，知らずに(副詞)
satisfy,を満足させる，を喜ばせる(動詞)
appointment,予定，約束(名詞)
chemical,化学物質/化学の(名詞)
attach,を貼り付ける，を貼る(動詞)
permit,を許可する，を認める(動詞)
prevent,を妨げる，予防する(動詞)
increase,を増やす，増大させる(動詞)
luxury,贅沢な/贅沢(名詞)
decade,10年間(名詞)
enormous,非常に大きい，極端に大きい(形容詞)
replacement,置換，代替(名詞)
in touch,連絡中，連絡が取れて(熟語)
confuse,を混乱させる，区別がつかない(動詞)
produce,を生産する，産出する(動詞)
economy,経済，節約(名詞)
celebrate,祝う，祝福する(動詞)
cope with,に対処する，に対応する(熟語)
imitate,模倣する，真似る(動詞)
assignment,割り当て，配分(名詞)
certainly,確かに，間違いなく(副詞)
behave,振る舞う，立ち振舞う(動詞)
instrument,楽器，音楽器具(名詞)
temporary,一時的な，短期的な(形容詞)
capable of,ができる，可能で(熟語)
arrange,整える，を配置する(動詞)
occasion,特定の時，行事，祭典(名詞)
take after,をまねる，に似る(熟語)
guilty of,罪を犯して，違法行為をして(熟語)
work out,練習する，運動する(熟語)
promote,を促進する，を推進する(動詞)
electricity,電力，電気(名詞)
composer,作曲，楽曲制作(名詞)
creature,生き物，生物(名詞)
substance,物質，実態(名詞)
graduate,を卒業する，を修了する(動詞)
furniture,家具，調度品(名詞)
medicine,薬，医薬品(名詞)
at last,ついに，やっと(熟語)
attitude,態度，姿勢(名詞)
borrow,を借りる，を借用する(動詞)
sufficient,十分な，足りている(形容詞)
hear from,から便りがある，連絡をもらう(熟語)
directly,直接，直接的に(副詞)
historic,由緒のある，歴史に残る(形容詞)
barely,かろうじて，やっと(副詞)
delete,を削除する，消す(動詞)
urgent,緊急の，急を要する(形容詞)
generous,気前のよい，寛容な(形容詞)
cruel,残酷な，ひどい(形容詞)
celebration,お祝い，祝典(名詞)
reflection,反響，反射(名詞)
concept,概念，観念(名詞)
whisper,ささやく，を耳打ちする(動詞)
deposit,お金を預ける，を預金する(動詞)
apology,謝罪，お詫び(名詞)
deceive,を欺く，をだます(動詞)
establish,を設立する，創設する(動詞)
endure,を我慢する，耐える(動詞)
disposal,処理，処分(動詞)
statistics,統計，数字(名詞)
compromise,妥協，和解(名詞)
terminal,終りの，末端の(形容詞)
formation,形成，構成(名詞)
envelope,封筒，封書(名詞)
quarrel,喧嘩，口論，言い争い(名詞)
handle,を手で扱う，に対処する/取っ手(動詞)
condition,状態，条件，情勢(名詞)
punish,を罰する，懲らしめる(動詞)
from time to time,時々，偶に(熟語)
in demand,需要のある，求められる(熟語)
stand out,目立つ，すぐれている(熟語)
in the meantime,とりあえず，それまでは(熟語)
to some extent,いくらか，ある程度(熟語)
at any cost,どんな犠牲を払っても，何がなんでも(熟語)
on the contrary,その反対で，それどころか(接続詞)
lose face,面子を失う，恥をかく(熟語)
answer for,責任を負う，引き受ける(熟語)
insist on,するように強く求める，強調する(熟語)
despite,にも関わらず，けれども(接続詞)
worth,の価値がある，（～するに）値する(形容詞)
not always,必ずしもではない，いつもとは限らない(熟語)
spread,を広げる，広がる(動詞)
at that time,あの時は，そのとき(熟語)
in common,共通して，一般的に(熟語)
be affected by,の影響を受ける，影響される(熟語)
luckily,幸いなことに，幸運にも(副詞)
not yet,まだ，今のところ(熟語)
in response,に応じて，に対応して(熟語)
have effects on,に影響を与える，に作用する(熟語)
taste,味，風味/な味がする(名詞)
in advance,前もって，事前に(熟語)
confident,自信のある，確信している(形容詞)
one day,ある日，いつか(熟語)
five senses,五感，感覚器官(熟語)
sight,見ること，視力(名詞)
electric,電気の，電力の(形容詞)
receive,を受理する，受け取る(動詞)
ankle,足首，くるぶし(名詞)
related to,に関連する，に関わる(熟語)
fear,を恐れる，恐がる/恐れ(名詞)
active,活動的な，活気のある(形容詞)
lesser,より少ない，いっそう少ない(形容詞)
degree,程度，度(名詞)
effect,効果，影響，結果(名詞)
cause,原因/の原因となる(動詞)
particularly,特に，とりわけ(副詞)
suffer,を患う，苦しむ(動詞)
immune,免疫の，免疫のある(形容詞)
disorder,無秩序，混乱(名詞)
mental,精神の，心の(形容詞)
physical,身体の，肉体の(形容詞)
intend to,するつもりである，する意図がある(熟語)
at present,現在は，今は(熟語)
make a difference,違いを生む，差をつける(熟語)
opportunity,機会，好機(名詞)
on purpose,故意に，わざと(熟語)
exceptionally,例外的に，非常に(副詞)
almost,ほとんど，たいてい(副詞)
characteristic,特有の，独特の(形容詞)
similar to,に似ている，類似している(熟語)
as to,に関して，について(接続詞)
civilization,文明，文明社会(名詞)
represent,を表す，を代表する(動詞)
collapse,崩壊する，つぶれる(動詞)
insult,を侮辱する，を罵る(動詞)
mixture,混合物，複合体(名詞)
isolated,孤立した，隔離された(形容詞)
punctual,規則正しい，時間通りの(形容詞)
responsible,責任がある，責任が伴う(形容詞)
frightened,恐ろしかった，怖かった(形容詞)
guarantee,を保証する/保証(動詞)
blame,を非難する，批判する(動詞)
anniversary,～周年，記念日(名詞)
violate,違反する，破る(動詞)
delay,を遅らせる，先延ばしにする(動詞)
surround,を取り囲む，を包囲する(動詞)
immigrate,移住する，移転する(動詞)
correct,正確な/を訂正する(形容詞)
landscape,風景，眺め(名詞)
instinct,直感，本能，勘(名詞)
policy,政策，方針(名詞)
obviously,明らかに，明白に(副詞)
strangely,不思議なことに，奇妙に(副詞)
chase,を追跡する，追いかける/追跡(動詞)
pour,を注ぐ，激しく降る(動詞)
at one time,一度に，同時に(熟語)
all the way,はるばる，わざわざ(熟語)
show up,現れる，出現する(熟語)
pull away,引き離す，引き剥がす(熟語)
try out,を試す，十分に試してみる(熟語)
break into,に押し入る，侵入する(熟語)
call it a day,終了する，仕事を切り上げる(熟語)
be awake,目を覚ましている，覚醒している(熟語)
issue,問題，（雑誌などの）号(名詞)
elderly,年配の，高齢の(形容詞)
brightness,輝度，明るさ(名詞)
have an effect on,に影響を及ぼす，影響する(熟語)
indoor,室内/屋内の(形容詞)
senior,ポストが上の/年上の人(形容詞)
natural,当然の，自然の(形容詞)
be adjusted to,に調整する，調節する(熟語)
specific,具体的な，特定の(形容詞)
heart rate,心拍数，脈拍(名詞)
be beneficial to,に有益である，役立つ(熟語)
what is called,いわゆる，通称(熟語)
symmetry,対称，左右対称(名詞)
each other,お互い，それぞれ(熟語)
advantage,有利，利点(名詞)
knee,膝(名詞)
check for,を調べる，確認する(熟語)
after all,結局，最終的に(熟語)
over time,超過勤務，延長時間(熟語)
What is more,さらに，その上(接続詞)
for some time,しばらくの間，一時的に(熟語)
at a time,１度に，同時に(熟語)
parking lot,駐車場，停車場(名詞)
all around the world,世界中の，全世界の(熟語)
copyright,著作権，版権(名詞)
charge,非難，料金，管理/に請求する(名詞)
director,監督，指導者，役員(名詞)
in reality,実際に，現実に(熟語)
actually,実際に，現実に(副詞)
compose,を構成する，作曲する(動詞)
greet,を出迎える，に挨拶する(動詞)
depend on,に頼る，依存する(熟語)
claim to do,することを主張する(熟語)
agree with,に賛成である，支持する(熟語)
it is common to hear,を聞くのが一般的です，よく聞かれる(熟語)
temple,お寺，寺院(名詞)
heritage,遺産，相続財産(名詞)
abroad,外国で，外国へ(副詞)
population,人口，国民(名詞)
bring,持って来る，連れてくる(動詞)
environmental,環境の，自然環境の(形容詞)
throw away,廃棄する，を捨てる(熟語)
garbage,生ゴミ，くず(名詞)
come up with,を思いつく，を考え出す(熟語)
environmentally,環境的に，情勢的に(副詞)
council,議会，会議(名詞)
carry out,を成し遂げる，実行する(熟語)
fuel,燃料，燃えやすいもの(名詞)
process,過程，手順/を加工処理する(名詞)
up to,～まで，～に至る(熟語)
turn into,に変わる，に転ずる(熟語)
cut down on,を切り詰める，節約する(熟語)
fossil fuel,化石燃料(名詞)
ban,を禁止する/禁止(動詞)
plastic bag,ビニール袋，プラスチック袋(名詞)
harm,害，危害/を害する(名詞)
unbelievable,信じられない，信じがたい(形容詞)
innocent,罪のない，無罪の(形容詞)
arrogant,傲慢な，横柄な(形容詞)
harbor,港，港湾(名詞)
temper,気性，かんしゃく(名詞)
legend,伝説，言い伝え(名詞)
fairly,かなり，公平に(副詞)
vague,漠然とした，あいまいな(形容詞)
harvest,収穫/を収穫する(動詞)
assistance,支援，手伝い(名詞)
conflict,対立，争い(名詞)
planet,惑星，天体(名詞)
ruin,を台無しにする，破滅する/破滅(動詞)
launch,発売する，船をおろす(動詞)
withdraw,を撤回する，引き下がる/引き出す(動詞)
refuse,を拒否する，拒む(動詞)
embrace,を抱きしめる，擁する(動詞)
overtake,追い越す，追いつく(動詞)
restrict,を制限する，を限定する(動詞)
instruction,指示，指導(名詞)
stock,株，在庫/を在庫に持つ(名詞)
competitor,競合他社，競争相手(名詞)
spectator,観客，見物人(名詞)
explorer,冒険者，探検家(名詞)
be filled with,で満たされている，充実している(熟語)
due to,が原因で，によって(熟語)
remind of,を思い出させる，気づかせる(熟語)
concentrate on,に集中する，専念する(熟語)
laugh at,を見て笑う，楽しむ(熟語)
well off,裕福な，富裕な(形容詞)
straight on,まっすぐに，直線的に(熟語)
far off,はるかかなたの，遠くの(熟語)
