英語,日本語,id
diplomatic,外交の，外交上の,1
alongside,と一緒に，並行して,2
narrative,物語，話,3
contamination,汚染，汚染物質,4
stark,正真正銘の，純粋な,5
refusal,拒否，拒絶,6
doctrine,教義，信条,7
organic,無農薬の，有機の,8
hypothesis,仮説，推測,9
evolutionary,進化的な，進化論の,10
archaeological,考古学の,11
subsequent,その後の，次の,12
contractor,請負業者，契約者,13
skeptical,懐疑的な，疑い深い,14
bribery,賄賂の授受，贈収賄,15
treadmill,踏み車，ルームランナー,16
resume,再開する，続ける,17
hierarchical,階層的な，階級制の,18
nourishment,栄養，滋養,19
credibility,信頼性，信用,20
dissent,異議を唱える，反対する,21
proliferation,拡散，増殖,22
controversy,論争，議論,23
sympathetic,思いやりのある，共感的な,24
round up,寄せ集める，切り上げる,25
supposedly,たぶん，おそらく,26
patriotism,愛国心，忠誠心,27
disappearance,失踪，消滅,28
tragic,悲劇的な，悲劇的,29
implant,植え付ける，移植する,30
accounting,会計，計算,31
bout,試合，競技,32
hold over,を持ち越す，延期する,33
biased toward,に対する偏見，偏った見方,34
puppy,子犬，幼犬,35
semester,学期，学期間,36
refund,払い戻す，返金する,37
diabetes,糖尿病，高血糖症,38
organ,臓器，器官,39
prod,突く，呼び起こす,40
drawback,欠点，短所,41
prospective,予測される，期待される,42
pay off,全部払う，完済する,43
exclusively,排他的に，限定して,44
dosage,投与量，服用量,45
epic,大作，壮大な作品,46
consistently,一貫して，常に,47
believe in,を信じる，信用する,48
commerce,商業，商売,49
segment,区切り，部分,50
plebiscite,国民投票，普通選挙,51
pack up,を荷造りする，詰める,52
make ends meet,収支を合わせる，つじつまを合わせる,53
put A aside,Aを脇に置く，Aを放置する,54
conception,概念，考え,55
empathy,共感，感情移入,56
in hope of,へ希望を抱いて，を期待して,57
conscience,良心，道徳心,58
bias,偏見，先入観,59
organism,生命体，生物,60
work out,体を鍛える，うまく行く，解決する,61
enzyme,酵素，生化学的触媒,62
circumvent,出し抜く，回避する,63
be tidied up,きちんと片づけた，整えた,64
clot,固まり，凝固塊,65
behavioral,行動上の，行動の,66
foremost,主要な，最も重要な,67
catalyst,触媒，刺激物,68
guilt,罪悪感，有罪,69
smooth over,丸く収める，穏便に済ます,70
seemingly,一見すると，表面上,71
dilemma,板挟み，窮地,72
scarcity,不足，欠乏，欠如,73
counterfeit,偽造する，偽造品を作る,74
perish,滅びる，死ぬ,75
expulsion,排除，除名,76
weed,雑草，草取り,77
roll up,を巻き上げる，巻く,78
obey,従う，服従する,79
prey,獲物，捕食対象,80
nobility,尊さ，高貴さ,81
inherent,本来の，固有の,82
fertile,肥沃な，多産の,83
assimilation,同化，吸収,84
removal,除去，取り除く,85
petition,嘆願，請願,86
reception,応接，歓迎,87
conceal,隠す，秘密にする,88
compliant,従順な，応じる,89
residence,住宅，居住地,90
protective,保護的な，保護する,91
initiate,始める，開始する,92
rebellion,反乱，暴動,93
convent,修道院，僧院,94
in person,直接に，対面で,95
sympathize,同情する，共感する,96
provoke,挑発する，引き起こす,97
give rise to,を生じさせる，を引き起こす,98
philosophical,哲学的な，思索的な,99
reminder,催促，注意喚起,100
disappointment,失望，期待外れ,101
ridicule,あざ笑う，嘲笑する,102
benevolent,慈悲深い，親切な,103
communal,共同の，共有の,104
compensation,補償，賠償,105
destitute,貧困の，困窮した,106
misfortune,不幸，災厄,107
level off,平らにする，水平にする,108
sinful,罪深い，悪い,109
routinely,日常的に，いつものように,110
medieval,中世の，時代遅れの,111
appreciation,感謝，称賛,112
rule out,を除外する，締め出す,113
hang on to,にしがみつく，執着する,114
exploit,偉業，業績,115
warrant,証明書，保証書,116
multitude,大勢，多く,117
designation,指定，選定,118
solely,単独で，専ら,119
mother-in-law,義理の母，義母,120
captivity,監禁，囚禁,121
forcible,強制的な，強い,122
fall under,支配下に入る，分類される,123
on the rise,上昇中で，増加中,124
ancestral,先祖の，祖先の,125
in place of,の代わりに，変わって,126
ruling,支配的な，主要な，優勢な,127
favorable,好ましい，有利な,128
expedite,促進する，迅速化する,129
low frequency,低周波，低頻度,130
harsh,厳しい，過酷な,131
repay,返済する，報いる,132
inadequate,不十分な，不適切な,133
pull in,到着する，片側に寄る,134
surgeon,外科医，手術医,135
tutor,家庭教師，個別指導者,136
surrender,降伏する，投降する,137
undergraduate,大学生，学部生,138
conspicuous,目立った，顕著な,139
comprise,含む，構成する,140
put forth,を進める，出す,141
spur,刺激，触発,142
renovate,改修する，改装する,143
idealization,理想化，理想の実現,144
integrate,統合する，一体化する,145
decay,腐る，朽ちる,146
spite,悪意，恨み,147
cynical,皮肉な，冷笑的な,148
bleak,吹きさらしの，荒涼とした,149
devastation,荒廃，壊滅,150
keep up on,の最新状況を把握する，追いつく,151
portray,描く，表現する,152
dread,ひどく怖がる，恐れる,153
evoke,呼び起こす，引き起こす,154
come down with,病気などにかかる，罹患する,155
crisp,新鮮な，さっぱりした,156
loyalty,忠誠，誠実,157
tyranny,専制政治，圧政,158
minimal,最小限の，最低限の,159
adoption,採用，受け入れ,160
inheritance,継承，相続,161
reside,住む，居住する,162
blend in,溶け合う，調和する,163
moderately,適度に，適切に,164
comprehend,理解する，把握する,165
formidable,恐ろしい，手ごわい,166
magnitude,大きさ，規模,167
sexuality,性的関心，性的志向,168
paramount,最高の，最重要の,169
discord,不一致，不和,170
continuation,継続，持続,171
violation,違反，侵害,172
surpass,超える，勝る,173
ape,類人猿，大猿,174
geology,地質学，岩石の科学,175
tonic,強壮剤，健康促進剤,176
scarce,乏しい，不足している,177
elevate,上げる，昇進させる,178
stick with,に固執する，堅持する,179
nitrogen,窒素，化学元素,180
spectacular,壮観な，見事な,181
epoch,時代，歴史の節目,182
thermal,熱の，温度に関する,183
hold up,持ちこたえる，耐える,184
ironically,皮肉なことに，逆説的に,185
instructive,有益な，教育的な,186
infectious,伝染性の，感染する,187
metabolism,代謝，生体の化学反応,188
weaken,弱める，力を失う,189
unstable,不安定な，ゆらぎやすい,190
jump at,に飛びつく，すぐに受け入れる,191
sincere,誠実な，真剣な,192
awkward,ぎこちない，不器用な,193
plead,懇願する，お願いする,194
multinational,多国籍の，複数の国籍からなる,195
tolerant,寛容な，容認する,196
wilderness,荒野，未開の地,197
stand over,を監督する，延期する,198
microbial,微生物の，細菌の,199
ivory,象牙，象牙質の,200
hold out,持ちこたえる，我慢する,201
prohibit,禁じる，禁止する,202
slaughter,虐殺，大量殺戮,203
disastrous,悲惨な，惨事の,204
eruption,噴火，爆発,205
pick over,吟味して選ぶ，選び抜く,206
under warranty,保証期間中，保証されている,207
profitable,利益のある，収益性の高い,208
durable,耐久性のある，長持ちする,209
warranty,保証，保障,210
dismissal,解散，解任,211
administrative,運営の，管理の,212
replicate,複製する，再現する,213
sue,訴える，訴訟を起こす,214
burglar,強盗，泥棒,215
mortality,死亡者数，死亡率,216
hierarchy,階層，階級,217
feasible,実行可能な，可能性のある,218
density,密度，濃度,219
squalor,不潔，汚さ,220
cramped,狭苦しい，窮屈な,221
adverse,反対の，逆の,222
exclusive,閉鎖的な，内向的な,223
put an end to,を終わらせる，終了させる,224
edible,食べられる，摂取可能な,225
envelop,包む，包装する,226
sustenance,食糧，食料,227
aptly,適切に，適当に,228
premature,時期尚早の，早まった,229
clean cut,きちんとした，整然とした,230
parasite,寄生虫，寄生生物,231
ugly,醜い，見苦しい,232
deliberate,故意の，意図的な,233
